Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
21/02/16,08:15,12:15,Campus,"Voorstelling Pozyx, vragen, uitwerken user stories en backlog",,
21/02/16,14:40,15:40,Extern,"Brainstorm in team",,
24/02/16,15:30,17:00,Extern,"Opstart basis project (nodejs-react)",5,
21/02/16,08:15,12:15,Campus,"Analyse",,
05/03/17,14:00,15:30,Extern,"Project basis voorzien van testen",,
05/03/17,14:00,15:00,Extern,"Consistent maken van de codebase",,
06/03/17,22:00,23:30,Extern,"Toevoegen apidoc met voorbeeld, projectstructuur in orde zetten",,
7/03/17,8:15,12:00,Campus,"Afwerken product backlog",,
7/03/17,13:00,14:30,Extern,"Sequentidiagrammen voor API + documentatie API",,
8/03/17,10:00,11:30,Extern,"ESLint op punt stellen",,
8/03/17,13:30,15:00,Extern,"Opzetten material-ui",,
8/03/17,18:30,21:00,Extern,"Verder Opzetten material-ui",,
8/03/17,22:00,23:00,Extern,"Webpack aliases, proberen server via webpack laten gaan",,
9/03/17,09:00,10:30,Extern,"Redux + Routing",,
11/03/17,09:00,11:00,Extern,"Webpack improvements",,
11/03/17,17:00,18:00,Extern,"Webpack improvements",,
21/03/17,08:30,10:00,Campus,"Analyse",7,
21/03/17,10:00,12:30,Campus,"Tag filtering op label selectie",7,
21/03/17,15:15,16:00,Extern,"Tag filtering op search query",7,
21/03/17,17:00,19:00,Extern,"Toon tag filtering op map",7,
23/03/17,14:00,16:00,Extern,"Tag filtering op batterijpercentage",7,
24/03/17,14:00,15:00,Extern,"Bugfixes, verbetering & opschoning tag filtering",7,
28/03/17,08:30,10:00,Campus,"Analyse",,
28/03/17,10:00,12:30,Campus,"Start implementatie Konva",26,
30/03/17,11:00,12:30,Extern,"Verdere implementatie Konva",26,
3/04/17,13:00,14:00,Extern,"Konva Map: Scaling, Tags & Anchors weergeven",26,
3/04/17,15:00,16:15,Extern,"Konva Map: Popout",26,
5/04/17,10:00,11:00,Extern,"Konva Map: Fixes aan scaling & popout",26,
12/04/17,10:00,11:00,Extern,"Konva Map: Popout verbeteringen",26,
13/04/17,19:10,20:45,Extern,"Positie interval",10,
13/04/17,21:00,22:00,Extern,"Positie interval",10,
13/04/17,22:00,23:59,Extern,"Start tag editing",9,
14/04/17,00:01,01:00,Extern,"Tag editing",9,
14/04/17,11:30,12:30,Extern,"Frontend verbinden met backend (weg met die mockdata)",,
14/04/17,13:10,14:30,Extern,"Fixes",,
14/04/17,16:30,17:00,Extern,"Fixes",,
14/04/17,16:30,17:30,Extern,"Frontend-Triggers start",,
17/04/17,02:30,05:00,Extern,"Frontend-Triggers builder",,
18/04/17,16:30,18:00,Extern,"Frontend-Triggers overview & in/uitschakelen",30,
18/04/17,03:30,03:50,Extern,"Webpack optimalizations",,
24/04/17,22:15,23:30,Extern,"Sagas & Component tests",,
