Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
14/02/17,08:15,12:15,Campus,"Inleiding vop, kennismaking scrum werkwijze en team. Brainstormen over vragen volgende sessie.",,
21/02/17,08:15,12:15,Campus,"Presentatie Pozyx + vragen. Backlog en user stories opstellen. Project gerelateerde documenten doornemen (richtlijnen,..)",,
28/02/17,08:15,12:15,Campus,"Standup + Todo items oplijsten en takenverdeling. Verslag sprint 1 opstellen in overleaf (Latex)",,
04/03/17,15:15,18:00,Extern,"Verslag sprint 1 verder afwerken in overleaf (Latex), context, probleemstelling, doelstelling,..",,
07/02/17,08:15,12:15,Campus,"Standup + Product backlog afwerken + op git plaatsen.",,
11/03/17,10:00,12:15,Extern,"Pair programming: frontend, mogelijk maken plattegrond toevoegen.",,
11/03/17,13:20,15:15,Extern,"Pair programming: frontend, mogelijk maken plattegrond toevoegen.",,
12/03/17,13:20,14:20,Extern,"Pair programming: backend, Websocket gecreëerd",,
12/03/17,15:00,16:30,Extern,"Pair programming: Tags visualiseren op plattegrond",,
13/03/17,19:00,12:00,Extern,"Verslag afwerken",,
14/03/17,08:15,11:00,Campus,"presentatie: Sprint 1",,
18/03/17,14:00,19:00,Extern,"Pair programming: Anchors visualiseren + veranderen van maps","18,20",
21/03/17,8:15:22,11:30,Extern,"Issues aanmaken sprint 2, concreet bespreken wat we wel en niet gaan implementeren. + prioriteiten herzien",32,
28/03/17,8u:15,12:15,Extern,"Linter herzien, error fixen. Code opkuisen. Brainstormen over Triggers. Project herzien nudat er een teamlid minder is.",,

