Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
14/02/17,08:15,12:15,Campus,"Uitleg VOP",,
21/02/17,08:15,12:15,Campus,"Voorstelling Pozyx, vragen, uitwerken user stories en backlog",,
21/02/17,14:40,15:40,Extern,"Aanvullen backlog en brainstormen over hoe plattegrond met anchors te linken",,
28/02/17,08:15,12:15,Campus,"Gewerkt aan de architectuur + backlog verder werken",,
28/02/17,12:45,14:25,Extern,"Gewerkt aan de architectuur + backlog verder werken",,
02/03/17,18:50,19:20,Extern,"Sprint backlog van sprint 1 opmaken",,
04/03/17,12:20,13:10,Extern,"Ontwerp databank sprint 1 afwerken",1,
04/03/17,13:10,13:45,Extern,"Bespreking mocken van data met Rémy",4,
04/03/17,13:45,14:05,Extern,"Ontwerp databank sprint 1 afwerken",1,
04/03/17,15:50,17:00,Extern,"MariaDB lokaal installeren, configureren en aanmaken sql tabellen/kolommen",3,
04/03/17,17:20,17:50,Extern,"MariaDB verbeteren tabellen en testen met dummy data",3,
04/03/17,20:00,22:50,Extern,"Visueel voorstellen van gemockte data",4,
07/03/17,8:20,12:00,Campus,"Stand-up en sequence diagram opstellen",2, 
07/03/17,13:00,14:30,Extern,"Linting voor WebStorm fixen en API documentatie opstellen",2, 
07/03/17,19:00,19:45,Extern,"API documentatie opstellen",2, 
07/03/17,20:15,21:40,Extern,"API documentatie opstellen",2, 
10/03/17,13:00,16:30,Extern,"Werking van Sequelize ORM opzoeken, toevoegen aan project en model opzetten",3,
11/03/17,11:30,14:30,Extern,"API documentatie verder uitwerken, API implementeren",8,
11/03/17,14:30,16:30,Extern,"API documentatie verder uitwerken, API implementeren",16,
12/03/17,11:00,11:30,Extern,"Helpen met lokale installatie van db en dependencies backend",,
12/03/17,12:15,12:30,Extern,"Vervolledigen van server readme.md zodat lokaal installeren vlotter verloopt",,
12/03/17,17:30,18:30,Extern,"Readme fixen, issues verduidelijken en andere kleine wijzigingen",,
13/03/17,20:00,22:00,Extern,"Sequelize relaties/associaties proberen fixen.",,
14/03/17,08:15,12:00,Campus,"Presentatie Sprint 1, deployment diagram opstellen",,
17/03/17,14:00,14:45,Extern,"Logboeken corrigeren (inclusief windows die tegenwerkt: no admin permission to modify file blabla)",,
28/03/17,08:15,12:00,Campus,"Triggers brainstormen, trigger schema opstellen, trigger test/dummy versie",,
01/04/17,12:00,18:00,Extern,"Code opkuisen ter voorbereiding op triggers, trigger eerste test versie uitwerken",24,
07/04/17,16:00,18:00,Extern,"Trigger middleware implementeren",24,
08/04/17,13:00,14:00,Extern,"Trigger middleware afwerken",24,
09/04/17,14:00,17:00,Extern,"Realtime integratie voor triggers, model voor triggers en verbeteringen, api voor triggers",22,
17/04/17,14:00,16:00,Extern,"Bugfixes triggers, README uitbreiden, testen van development versie",,
18/04/17,08:15,11:00,Campus,"Triggers back-end en front-end verschillen bespreken",,
23/04/17,20:00,21:00,Extern,"Verslag sequentie diagrammen verbeteren + uitleg, databank diagram uitleg",,
24/04/17,19:00,21:30,Extern,"Verslag: installatiehandleiding, testplan, presentatie voorbereiden",,
25/04/17,08:15,12:30,Campus,"Sprint review meeting + retrospective sprint 3: Triggers brainstorm 2.0",,
02/05/17,08:15,12:15,Campus,"Triggers 2.0 bedenken aan de hand van opgestelde lijst met voorbeeld triggers, helpen met simulatie script",,
09/05/17,08:15,12:00,Campus,"Triggers 2.0 uitwerken: implementeren van actions, filter chaining en herwerken van datamodel naar json blob",,
12/05/17,13:00,17:00,Extern,"Verbeteren van simulatie script, route om scenario's door te geven naar server, testen van script",,
13/05/17,08:00,12:00,Extern,"Verder testen en bugfixen van tag simulatie script",,
15/05/17,15:00,22:00,Extern,"Testen en bugfixen van allerlei triggers, notificaties uitsturen implementeren",,
16/05/17,06:00,07:45,Extern,"Demo scenario's voorbereiden op lokaal toestel wegens server problemen",,
16/05/17,08:15,10:00,Campus,"Demo voorbereidingen en demo",,
21/05/17,17:00,18:00,Extern,"Deployment diagram aanvullen in verslag, testen v triggers in verslag",,
21/05/17,22:00,23:00,Extern,"Testen van triggers in verslag en readme aanvullen",,
