Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
14/02/17,08:15,12:15,Campus,"Uitleg VOP",,
21/02/17,08:15,12:15,Campus,"Presentatie Pozyx, Brainstormen, creëren van user stories en backlog",,
23/02/17,19:56,21:35,Thuis,"Verder werken aan de backlog + aanvullen wiki op github",,
28/02/17,08:15,12:15,Campus,"Gewerkt aan de architectuur + backlog verder werken",,
28/02/17,12:45,14:25,Extern,"Gewerkt aan de architectuur + backlog verder werken",,
2/03/17,21:05,21:50,Extern,"Gewerkt aan backlog/sprintbacklog",,
6/03/17,10:15,11:00,Extern,"Verder taken gecreëerd in de backlog",,
6/03/17,18:35,21:20,Extern,"Verder taken gecreëerd in de backlog",,
7/03/17,8:15,12:00,Campus,"Product backlog afgewerkt",,
7/03/17,13:00,14:30,Extern,"Verder gewerkt aan de wiki",,
10/03/17,14:32,14:29,Extern,"Verder gewerkt aan de github",,
10/03/17,17:09,18:10,Extern,"Verder gewerkt aan de github",,
11/03/17,10:00,12u15,Extern,"Gewerkt aan de frontend",,
11/03/17,13:20,15:15,Extern,"Gewerkt aan de frontend",,
11/03/17,17:16,19:06,Extern,"Gewerkt aan de frontend",,
